"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","Mom Grab","RHInteract","LHGrasp","LHInteract","RHGrasp","Interact Comment","Mouth","Grasp Comment","Interact  Comment","Mom Grab Comment","Mon Grab comment","Interact comment","Motion Comment","Mouth Comment","Momgrab comment","Grasp comment","Motion comment","Momgrab","Mouth comment","motion comment","grasp comment","moith comment","interact comment","Mom action","Mom action comment","inInteract comment","mouth comment","RHinteract","LHinteract","Mom Actions","File","File Path"
189.724,196.693,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
190.298,191.5,,"Shak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
190.52,192.688,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
191.8,196.078,,,,,,,,,"im",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
194.531,198.779,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
194.801,198.779,,,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
196.611,208.971,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
196.627,196.777,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
196.826,209.111,,,,,"ag","a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
199.102,207.489,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
199.902,207.489,,,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
203.517,207.018,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
207.518,207.668,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
207.925,226.265,,,,"a",,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
209.824,214.509,,,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
