"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","*TIME","LHGrasp","RHInteract","RHGrasp","Interact Comment","LHInteract","Grasp Comment","LHinteract","File","File Path"
166.515,166.567,0.052,,,,,"might code as interact, check timing / threshold of kaya's files",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
167.917,167.983,0.066,,,,,"UNDER",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
167.917,168.383,0.466,,"ag",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
167.917,168.484,0.567,,,,,,"a",,,"002_08_090507_07192018EP_mathands_DH.eaf"
209.826,210.785,0.959,,,"a",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
227.614,228.381,0.767,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
228.415,229.182,0.767,,,,"m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
228.415,229.283,0.868,,,"m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
251.603,252.617,1.014,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
252.617,253.684,1.067,,,,"m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
252.617,253.685,1.068,,,"m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
252.621,252.889,0.268,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
252.812,254.581,1.769,,,,,,"a",,,"002_08_090507_07192018EP_mathands_DH.eaf"
252.911,254.48,1.569,,"ag",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
253.918,255.286,1.368,,,,"ag",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
253.918,255.387,1.469,,,"a",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
263.929,264.721,0.792,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
264.726,265.993,1.267,,,,"m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
264.726,266.078,1.352,,,"m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
264.733,265.099,0.366,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
320.314,321.395,1.081,,,,,"RH OCC, partial LH OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
321.395,322.096,0.701,,,,,"RH OCC, LH under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
321.395,323.098,1.703,,"m",,,,"m",,,"002_08_090507_07192018EP_mathands_DH.eaf"
322.096,323.993,1.897,,,,,"RH OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
323.994,324.895,0.901,,,,,"LH OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
324.024,325.291,1.267,,,,"ig",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
324.026,325.384,1.358,,,"i",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
324.9,325.167,0.267,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
324.901,325.974,1.073,,"ag",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
324.901,325.992,1.091,,,,,,"a",,,"002_08_090507_07192018EP_mathands_DH.eaf"
374.403,375.086,0.683,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
375.12,375.286,0.166,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
375.12,375.787,0.667,,"ag",,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
375.12,376.292,1.172,,,,,,"a",,,"002_08_090507_07192018EP_mathands_DH.eaf"
