Begin,End,m_inf,i_inf,a_inf,Mom Actions,m_mom,i_mom,a_mom,File
232.28,232.535,,,Both,,,,,005_08
233.953,260.952,,R,,,,,,005_08
260.204,260.952,,,,momgrab,,,,005_08
260.204,261.312,,,,momgrab,,,,005_08
270.01,288.754,L,,,,,,,005_08
289.694,297.356,,,L,,,,,005_08
294.291,295.374,,,Both,,,,,005_08
297.279,302.558,,,R,,,,,005_08
300.582,302.558,,,Both,,,,,005_08
300.582,317.094,,,L,,,,,005_08
307.998,310.617,,,Both,,,,,005_08
311.915,323.971,,,R,,,,,005_08
322.934,323.971,,,Both,,,,,005_08
322.934,324.055,,,L,,,,,005_08
99.20700000000001,107.16799999999999,,,R,,,,,006_08
104.215,107.16799999999999,Both,,,,,,,006_08
104.215,107.67299999999999,L,,,,,,,006_08
105.899,107.199,,,,momgrab,,,,006_08
107.32799999999999,107.68799999999999,,,,momgrab,,,,006_08
118.8,118.868,R,,,,,,,006_08
131.502,169.487,,,L,,,,,006_08
154.703,156.085,,Both,,,,,,006_08
168.887,169.52,,,,momgrab,,,,006_08
172.8,173.488,,L,,,,,,006_08
176.521,243.287,,,R,,,,,006_08
214.915,243.287,Both,,,,,,,006_08
214.915,363.69599999999997,L,,,,,,,006_08
242.69400000000002,243.328,,,,momgrab,,,,006_08
249.005,250.77700000000002,,R,,,,,,006_08
258.825,263.972,R,,,,,,,006_08
267.404,295.387,,R,,,,,,006_08
295.726,298.967,R,,,,,,,006_08
299.699,375.983,,R,,,,,,006_08
363.194,363.728,,,,momgrab,,,,006_08
77.987,149.634,L,,,,,,,007_07
77.99,79.417,,,,momgrab,,,,007_07
78.404,79.417,,,Both,,,,,007_07
78.404,152.317,,,R,,,,,007_07
87.999,89.671,,,,momgrab,,,,007_07
109.654,110.925,,,,momgrab,,,,007_07
153.651,203.08599999999998,,,L,,,,,007_07
153.653,156.944,,,,momforce,,,,007_07
156.92700000000002,156.944,Both,,,,,,,007_07
156.92700000000002,210.796,R,,,,,,,007_07
156.944,157.173,,,,momforce,,,,007_07
209.93400000000003,210.90099999999998,,,,momgrab,,,,007_07
225.33599999999998,302.58099999999996,,,L,,,,,007_07
225.352,226.352,,,,momforce,,,,007_07
236.76,268.279,R,,,,,,,007_07
266.7,268.279,,,,momgrab,,,,007_07
266.7,268.361,,,,momgrab,,,,007_07
273.05,289.237,R,,,,,,,007_07
274.124,274.81,,,,momforce,,,,007_07
287.363,289.278,,,,momgrab,,,,007_07
293.762,328.57599999999996,,R,,,,,,007_07
293.77,294.942,,,,momforce,,,,007_07
301.868,302.656,,,,momgrab,,,,007_07
305.842,308.541,,,,momforce,,,,007_07
305.855,308.541,,,Both,,,,,007_07
305.855,354.301,,,L,,,,,007_07
329.695,346.084,,Both,,,,,,007_07
353.769,371.98199999999997,,,R,,,,,007_07
355.14,371.98199999999997,,Both,,,,,,007_07
