"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","LHGrasp","RHInteract","Mouthing","RHGrasp","Interact Comment","LHInteract","Mom Action","Grasp Comment","Mouth","Mom Actions","LHinteract","Mom Grab","File","File Path"
362.874,366.626,,,"ag",,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
364.56,422.232,,,,"m",,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
364.9,422.232,,,,,,"mg",,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
366.413,370.572,,,,,"mm",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
366.834,392.955,,,"mg",,,,,"m",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
374.833,380.493,,,,,"mm",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
395.528,401.874,,,"ag",,,,,"a",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
402.231,404.28,,,"mg",,,,,"m",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
402.618,404.484,,,,,"mm",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
404.445,404.972,,"shak-b",,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
411.847,413.607,,,,,,,,,"momgrab",,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
421.045,422.238,,"shak-b",,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
422.238,422.386,,"drop",,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
434.699,452.875,,,"ag",,,,,"a",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
436.638,463.792,,,,"a",,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
437.125,463.792,,,,,,"ag",,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
437.769,440.182,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
442.985,445.872,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
455.267,460.062,,,"ag",,,,,"a",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
457.783,463.654,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
460.161,463.187,,,,,,,,"m",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
462.326,463.212,,,,,,,,,"momgrab",,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
463.819,463.972,,"drop",,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
465.046,479.592,,,,"a",,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
