index,Begin,End,m,i,a,Mom Actions,File
148,84.68299999999999,86.10700000000001,,,R,,004_07
149,86.10700000000001,105.68700000000001,,,Both,,004_07
,105.68700000000001,107.90100000000001,,,R,,004_07
150,106.53299999999999,108.71799999999999,L,,,,004_07
151,108.71799999999999,109.875,Both,,,,004_07
151,109.875,111.596,R,,,,004_07
152,124.51899999999999,127.51100000000001,,,R,,004_07
153,127.51100000000001,156.78,,,Both,,004_07
154,144.82,146.18,,,,Momgrab,004_07
,146.18,183.077,,,L,,004_07
153,156.78,144.82,,,L,,004_07
155,160.408,165.173,R,,,,004_07
156,165.32299999999998,168.36900000000003,,,R,,004_07
157,175.61599999999999,189.632,,,R,,004_07
158,189.632,195.266,,,Both,,004_07
158,195.266,196.321,,,L,,004_07
159,196.321,202.725,Both,,,,004_07
,202.725,204.167,,,L,,004_07
160,204.294,207.235,R,,,,004_07
161,207.235,207.40099999999998,,,Both,,004_07
162,207.40099999999998,208.09099999999998,,,,Momgrab,004_07
,208.09099999999998,208.16,,,Both,,004_07
,208.16,208.981,R,,,,004_07
163,208.90900000000002,209.02900000000002,,,,Momgrab,004_07
164,223.515,224.01,,,L,,004_07
165,224.01,228.09400000000002,,,Both,,004_07
,228.09400000000002,263.876,,,L,,004_07
166,229.53799999999998,236.204,R,,,,004_07
167,236.507,240.285,,,R,,004_07
168,244.83599999999998,250.49200000000002,R,,,,004_07
169,251.727,255.71099999999998,R,,,,004_07
170,255.71099999999998,256.31,,,,Momgrab,004_07
,256.31,262.161,R,,,,004_07
171,262.801,264.808,,,R,,004_07
172,264.808,266.66,Both,,,,004_07
173,265.409,266.62,,,,Momgrab Momgrab,004_07
,266.62,266.867,L,,,,004_07
172,266.66,265.409,L,,,,004_07
174,286.032,287.612,,,L,,004_07
175,287.612,295.493,,,Both,,004_07
175,295.493,297.013,,,R,,004_07
176,297.013,298.969,Both,,,,004_07
176,298.969,299.427,L,,,,004_07
177,299.427,301.302,Both,,,,004_07
,301.302,313.399,L,,,,004_07
178,302.524,313.911,R,,,,004_07
179,313.911,314.372,,,Both,,004_07
180,314.217,314.42,,,,Momgrab,004_07
,314.372,377.89599999999996,R,,,,004_07
180,314.42,314.372,,,,Momgrab,004_07
181,316.42900000000003,320.087,L,,,,004_07
182,320.91200000000003,323.281,,,L,,004_07
183,323.82099999999997,341.783,L,,,,004_07
184,342.42199999999997,344.269,,,L,,004_07
185,344.505,361.096,L,,,,004_07
186,365.125,376.293,L,,,,004_07
187,377.909,380.00800000000004,,,R,,004_07
188,380.00800000000004,382.77,,,Both,,004_07
,382.77,409.49300000000005,,,R,,004_07
189,384.519,387.29,,,L,,004_07
190,392.63300000000004,402.19199999999995,,,L,,004_07
191,404.213,408.589,,,L,,004_07
192,412.409,414.413,,R,,,004_07
193,414.413,418.681,,Both,,,004_07
,418.681,422.292,,R,,,004_07
194,419.71,423.903,L,,,,004_07
195,423.903,441.765,Both,,,,004_07
,441.765,453.194,L,,,,004_07
196,31.6,31.603,,,L,,005_07
197,31.603,64.372,,,Both,,005_07
,64.372,99.601,,,L,,005_07
198,65.191,75.182,R,,,,005_07
199,75.223,83.09700000000001,,,R,,005_07
200,84.10700000000001,85.09700000000001,,,R,,005_07
201,85.51,101.63600000000001,,R,,,005_07
202,101.63600000000001,102.214,,,,Momgrab,005_07
,102.214,104.654,,R,,,005_07
203,105.41799999999999,105.568,,R,,,005_07
204,112.199,118.396,,,L,,005_07
205,118.396,118.65700000000001,,Both,,,005_07
,118.65700000000001,118.897,,,L,,005_07
206,119.656,121.189,,R,,,005_07
207,121.323,123.898,,,L,,005_07
208,132.092,132.915,,L,,,005_07
209,132.915,184.796,,,Both,,005_07
209,184.796,185.399,,,R,,005_07
210,185.399,191.399,,,Both,,005_07
,191.399,198.46900000000002,,,R,,005_07
211,193.125,202.892,,L,,,005_07
212,207.24,207.394,,L,,,005_07
213,207.394,207.803,,Both,,,005_07
213,207.803,217.114,,R,,,005_07
214,217.30599999999998,218.15200000000002,,R,,,005_07
215,218.205,220.99900000000002,,R,,,005_07
216,220.99900000000002,221.90200000000002,,Both,,,005_07
216,221.90200000000002,223.894,,L,,,005_07
217,223.894,224.28799999999998,,Both,,,005_07
,224.28799999999998,231.101,,L,,,005_07
218,231.201,233.842,,L,,,005_07
219,234.199,234.295,,L,,,005_07
220,237.696,237.706,,,,Momforce,005_07
221,237.706,238.715,,Both,,,005_07
221,238.715,248.803,,R,,,005_07
222,248.803,249.801,,Both,,,005_07
222,249.801,255.398,,L,,,005_07
223,261.999,264.801,,R,,,005_07
224,264.801,267.488,,Both,,,005_07
224,267.488,274.597,,L,,,005_07
225,276.202,279.589,,L,,,005_07
226,282.3,282.464,,R,,,005_07
227,282.464,286.991,,,,Momforce,005_07
227,286.991,287.08099999999996,,,,Momforce,005_07
228,289.095,289.651,,,,Momforce,005_07
229,289.651,291.317,,Both,,,005_07
229,291.317,292.404,,R,,,005_07
230,292.404,303.873,,Both,,,005_07
230,303.873,310.305,,L,,,005_07
231,310.305,310.897,,Both,,,005_07
,310.897,315.192,,L,,,005_07
232,329.397,329.45099999999996,,,,Momforce,005_07
233,329.45099999999996,330.00800000000004,Both,,,,005_07
233,330.00800000000004,331.098,R,,,,005_07
234,331.098,332.194,Both,,,,005_07
,332.194,345.97,R,,,,005_07
235,71.167,128.97899999999998,R,,,,006_07
236,128.97899999999998,131.67,,,,momgrab,006_07
237,131.405,131.692,,Both,,,006_07
236,131.67,131.405,,,,momgrab,006_07
237,131.692,134.52700000000002,,L,,,006_07
238,134.52700000000002,136.37,,Both,,,006_07
238,136.37,184.13099999999997,,R,,,006_07
239,184.13099999999997,191.15400000000002,,,Both,,006_07
240,191.15400000000002,193.192,,,,momgrab,006_07
,193.192,198.87900000000002,,,Both,,006_07
241,197.63400000000001,199.071,,,,momgrab,006_07
,198.87900000000002,230.595,,R,,,006_07
242,202.84799999999998,207.77599999999998,,,L,,006_07
243,229.024,251.03099999999998,,L,,,006_07
244,251.03099999999998,252.082,,Both,,,006_07
244,252.082,254.71900000000002,,R,,,006_07
245,254.71900000000002,255.49099999999999,,Both,,,006_07
245,255.49099999999999,259.788,,L,,,006_07
246,258.572,314.778,,R,,,006_07
247,265.329,268.485,,,Both,,006_07
248,271.008,272.591,,,L,,006_07
249,277.404,299.121,L,,,,006_07
250,299.121,302.221,,,,momgrab,006_07
,302.221,307.41,L,,,,006_07
251,313.099,314.612,,,,momgrab,006_07
252,314.612,314.904,,,Both,,006_07
246,314.778,259.788,,Both,,,006_07
252,314.904,315.82599999999996,,,L,,006_07
253,315.82599999999996,329.37800000000004,,,Both,,006_07
253,329.37800000000004,332.727,,,R,,006_07
254,332.727,411.164,,Both,,,006_07
255,411.164,411.173,,,,momgrab,006_07
,411.173,417.685,,,R,,006_07
255,411.173,411.22900000000004,,,,momgrab,006_07
256,412.301,418.639,L,,,,006_07
257,418.639,419.967,Both,,,,006_07
257,419.967,444.04699999999997,R,,,,006_07
258,29.752,32.095,R,,,,007_07
259,32.095,42.772,L,,,,007_07
